ID,"Branch ID","Branch Name","Template Name",Titles,Descriptions,Images
18,3,bhagal,wsfesdfgzg,"dhdthtgh | fftgjgv","hdthdhgfdch | fgjgnbnb","uploads/homeassessments/1757331046_68bebe66d4dcc.jpg | uploads/homeassessments/1757331046_68bebe66d5279.jpg"
17,2,adajan,"Morning Routine Exercise","Wake Up | Exercise","Get up at 6AM | Do 30 min workout","uploads/homeassessments/1757324629_68bea555e4d65.jpg | uploads/homeassessments/1757324629_68bea555e530b.jpg"
16,,N/A,pppppppp,"ppppppppppppvv | vvvvvvvvvvvjj | jjjjjjjjjjjjjjjvv","ppppppppp | vvvvvvvvvvvvv | jjjjjjjjjjjjjjjjjj","uploads/homeadvices/1756357407_68afe31fd0b0d.jpg | uploads/homeadvices/1756357407_68afe31fd1030.jpg | uploads/homeadvices/1756357407_68afe31fd158f.jpg"
15,,N/A,ryfhjyy,rhfghfgh,yhjyfjhygh,uploads/homeadvices/1756293309_68aee8bd78e52.jfif
14,,N/A,fggdfhfgh,fghfghfgh,fhgfhgfhgfg,uploads/homeadvices/1755759131_68a6c21b3b370.jpg
13,,N/A,"Morning Routine Exercise","Wake Up | Exercise","Get up at 6AM | Do 30 min workout","uploads/homeadvices/1755759071_68a6c1df7ae0d.jpg | uploads/homeadvices/1755759071_68a6c1df7b3ab.jpg"
12,,N/A,"body pain",cde5tr46t,ghtru76y,uploads/homeadvices/1755498314_68a2c74a69a95.jpg
11,,N/A,"Deborah Fletcher","Veritatis et ipsum","Voluptas consequuntu",uploads/homeadvices/1755495485_68a2bc3da87be.jpg
9,,N/A,"Ella Parks","Sit pariatur Ut do | Modi ea qui perspici","Adipisicing ipsam im | Possimus beatae cor","uploads/homeadvices/1755156473_689d8ff957e9f.jpg | uploads/homeadvices/1755156473_689d8ff958071.jpg"
8,,N/A,gfgfxgbf,"fgfxgfxgv | hfhdfghdfg | gdfgdg","dgfgbfx | eydrgdrfgbfd | gdfgbfdgb","uploads/homeadvices/1755152261_689d7f85c3c70.jpg | uploads/homeadvices/1755152261_689d7f85c3f4d.jpg"
